Date,VOO
2011-06-06,90.74887084960938
2011-06-07,90.62584686279297
2011-06-08,90.25682830810547
2011-06-09,90.94876098632812
2011-06-10,89.67255401611328
2011-06-13,89.73404693603516
2011-06-14,90.88723754882812
2011-06-15,89.30354309082031
2011-06-16,89.47264862060547
2011-06-17,89.71865844726562
2011-06-20,90.22608947753906
2011-06-21,91.45618438720703
2011-06-22,90.91797637939453
2011-06-23,90.61046600341797
2011-06-24,89.61390686035156
2011-06-27,90.37101745605469
2011-06-28,91.52977752685547
2011-06-29,92.34866333007812
2011-06-30,93.2293701171875
2011-07-01,94.63538360595703
2011-07-05,94.48087310791016
2011-07-06,94.61993408203125
2011-07-07,95.6551284790039
2011-07-08,95.00619506835938
2011-07-11,93.24480438232422
2011-07-12,92.82766723632812
2011-07-13,93.15213775634766
